Year,wheat Demand in million tons,population ,per capita income,international demand
2005,69.35,1154638713,714.861,801
2006,75.81,1172373788,806.7533,94
2007,78.57,1189691809,1028.3348,49
2008,80.68,1206734806,998.5223,23
2009,80.8,1223640160,1101.9608,58
2010,86.87,1240613620,1357.5637,72
2011,94.88,1257621191,1458.1041,891
2012,93.51,1274487215,1443.8824,6824
2013,95.85,1291132063,1449.6105,6053
2014,86.53,1307246509,1573.8856,3409
2015,92.29,1322866505,1605.6054,1130
2016,98.51,1338636340,1732.5542,501
2017,99.87,1354195680,1980.667,569
2018,103.6,1369003306,1998.2591,496
2019,107.59,1383112050,2072.2449,509
2020,109.65,1396387127,1933.1011,2561
2021,110.95,1407563842,2277.4343,8033
2022,112.45,1417173173,1850,6500
